Month,Exports,Imports,Balance
Jan-92,502.5,"1,912.60","-1,410.10"
Feb-92,471.1,"1,693.70","-1,222.60"
Mar-92,646.3,"1,441.80",-795.5
Apr-92,580.7,"1,677.60","-1,096.90"
May-92,621.7,"1,853.90","-1,232.20"
Jun-92,689.2,"2,179.20","-1,490.00"
Jul-92,438.8,"2,503.80","-2,065.00"
Aug-92,730.4,"2,613.00","-1,882.60"
Sep-92,489.3,"2,760.50","-2,271.20"
Oct-92,746.3,"2,748.40","-2,002.10"
Nov-92,620.5,"2,316.00","-1,695.50"
Dec-92,881.7,"2,027.00","-1,145.30"
Jan-93,620.7,"2,187.60","-1,566.90"
Feb-93,683.8,"1,862.40","-1,178.60"
Mar-93,621.6,"2,083.20","-1,461.60"
Apr-93,728.4,"2,226.30","-1,497.90"
May-93,586.2,"2,376.30","-1,790.10"
Jun-93,754.8,"2,754.20","-1,999.40"
Jul-93,711.6,"2,981.10","-2,269.50"
Aug-93,766.5,"3,223.30","-2,456.80"
Sep-93,836.2,"3,338.70","-2,502.50"
Oct-93,623.8,"3,277.60","-2,653.80"
Nov-93,781.8,"2,899.60","-2,117.80"
Dec-93,"1,047.50","2,329.60","-1,282.10"
Jan-94,551,"2,763.10","-2,212.10"
Feb-94,877.9,"2,499.20","-1,621.30"
Mar-94,783.7,"2,183.00","-1,399.30"
Apr-94,712.7,"2,491.60","-1,778.90"
May-94,757.3,"2,979.00","-2,221.70"
Jun-94,"1,009.40","3,463.30","-2,453.90"
Jul-94,970.4,"3,645.40","-2,675.00"
Aug-94,926.4,"4,165.80","-3,239.40"
Sep-94,628.5,"4,134.40","-3,505.90"
Oct-94,618.4,"4,101.20","-3,482.80"
Nov-94,648,"3,534.30","-2,886.30"
Dec-94,798,"2,826.50","-2,028.50"
Jan-95,744.9,"3,450.60","-2,705.70"
Feb-95,"1,085.50","3,001.50","-1,916.00"
Mar-95,"1,070.10","2,910.40","-1,840.30"
Apr-95,896.4,"3,148.30","-2,251.90"
May-95,831,"3,654.90","-2,823.90"
Jun-95,946.7,"3,960.70","-3,014.00"
Jul-95,985.7,"4,311.80","-3,326.10"
Aug-95,881.4,"4,804.70","-3,923.30"
Sep-95,959.6,"4,584.10","-3,624.50"
Oct-95,"1,097.40","4,714.30","-3,616.90"
Nov-95,"1,124.70","3,868.00","-2,743.30"
Dec-95,"1,130.30","3,133.90","-2,003.60"
Jan-96,929.2,"3,657.70","-2,728.50"
Feb-96,"1,146.90","3,539.60","-2,392.70"
Mar-96,"1,092.50","2,863.70","-1,771.20"
Apr-96,841.3,"3,247.90","-2,406.60"
May-96,881.6,"3,954.30","-3,072.70"
Jun-96,771.6,"4,111.20","-3,339.60"
Jul-96,998.2,"4,816.70","-3,818.50"
Aug-96,778.3,"5,495.70","-4,717.40"
Sep-96,753.4,"5,480.70","-4,727.30"
Oct-96,927.5,"5,812.90","-4,885.40"
Nov-96,"1,586.40","4,585.40","-2,999.00"
Dec-96,"1,285.70","3,947.00","-2,661.30"
Jan-97,938.4,"4,667.60","-3,729.20"
Feb-97,913.3,"4,262.40","-3,349.10"
Mar-97,"1,021.60","3,628.60","-2,607.00"
Apr-97,964.7,"4,445.00","-3,480.30"
May-97,"1,056.80","4,795.10","-3,738.30"
Jun-97,920.3,"5,213.50","-4,293.20"
Jul-97,"1,097.10","5,777.20","-4,680.10"
Aug-97,938,"6,073.60","-5,135.60"
Sep-97,"1,039.80","6,561.40","-5,521.60"
Oct-97,"1,438.80","6,606.50","-5,167.70"
Nov-97,"1,300.70","5,425.70","-4,125.00"
Dec-97,"1,232.70","5,101.10","-3,868.40"
Jan-98,"1,271.10","5,453.20","-4,182.10"
Feb-98,"1,019.30","4,559.60","-3,540.30"
Mar-98,"1,034.20","4,798.10","-3,763.90"
Apr-98,984.9,"5,262.90","-4,278.00"
May-98,911.3,"5,539.40","-4,628.10"
Jun-98,"1,282.70","6,020.20","-4,737.50"
Jul-98,"1,100.80","6,556.20","-5,455.40"
Aug-98,869.9,"6,779.90","-5,910.00"
Sep-98,"1,214.90","7,125.20","-5,910.30"
Oct-98,"1,855.20","7,377.70","-5,522.50"
Nov-98,"1,317.20","6,374.10","-5,056.90"
Dec-98,"1,379.70","5,322.10","-3,942.40"
