Num,czone_1990,cnty,State,State name,County name,Full County name,CZ name,MSA,CZ level quintile,CA level category,d_tradeotch_p1_lag_2000_2012,d_tradeotch_pd_lag_2000_2012,d_tradeusch_pd_2000_2012,d_tradeusch_p1_2000_2012,l_shind_manuf_cbp_1980,l_no_workers_totcbp_1980,l_shind_manuf_cbp_1990,l_no_workers_totcbp_1990,l_shind_manuf_cbp_2000,l_no_workers_totcbp_2000,d_tradeotch_p1_lag_1991_1999,d_tradeotch_pd_lag_1991_1999,d_tradeusch_pd_1991_1999,d_tradeusch_p1_1991_1999,d_tradeotch_p1_lag_1991_2000,d_tradeotch_pd_lag_1991_2000,d_tradeusch_pd_1991_2000,d_tradeusch_p1_1991_2000,d_tradeotch_p1_lag_1991_2001,d_tradeotch_pd_lag_1991_2001,d_tradeusch_pd_1991_2001,d_tradeusch_p1_1991_2001,d_tradeotch_p1_lag_1991_2002,d_tradeotch_pd_lag_1991_2002,d_tradeusch_pd_1991_2002,d_tradeusch_p1_1991_2002,d_tradeotch_p1_lag_1991_2007,d_tradeotch_pd_lag_1991_2007,d_tradeusch_pd_1991_2007,d_tradeusch_p1_1991_2007,d_tradeotch_p1_lag_1991_2010,d_tradeotch_pd_lag_1991_2010,d_tradeusch_pd_1991_2010,d_tradeusch_p1_1991_2010,d_tradeotch_p1_lag_1991_2012,d_tradeotch_pd_lag_1991_2012,d_tradeusch_pd_1991_2012,d_tradeusch_p1_1991_2012,d_tradeotch_p1_lag_1991_2014,d_tradeotch_pd_lag_1991_2014,d_tradeusch_pd_1991_2014,d_tradeusch_p1_1991_2014,d_tradeotch_p1_lag_1992_1999,d_tradeotch_pd_lag_1992_1999,d_tradeusch_pd_1992_1999,d_tradeusch_p1_1992_1999,d_tradeotch_p1_lag_1992_2000,d_tradeotch_pd_lag_1992_2000,d_tradeusch_pd_1992_2000,d_tradeusch_p1_1992_2000,d_tradeotch_p1_lag_1992_2001,d_tradeotch_pd_lag_1992_2001,d_tradeusch_pd_1992_2001,d_tradeusch_p1_1992_2001,d_tradeotch_p1_lag_1992_2002,d_tradeotch_pd_lag_1992_2002,d_tradeusch_pd_1992_2002,d_tradeusch_p1_1992_2002,d_tradeotch_p1_lag_1992_2007,d_tradeotch_pd_lag_1992_2007,d_tradeusch_pd_1992_2007,d_tradeusch_p1_1992_2007,d_tradeotch_p1_lag_1992_2010,d_tradeotch_pd_lag_1992_2010,d_tradeusch_pd_1992_2010,d_tradeusch_p1_1992_2010,d_tradeotch_p1_lag_1992_2012,d_tradeotch_pd_lag_1992_2012,d_tradeusch_pd_1992_2012,d_tradeusch_p1_1992_2012,d_tradeotch_p1_lag_1999_2010,d_tradeotch_pd_lag_1999_2010,d_tradeusch_pd_1999_2010,d_tradeusch_p1_1999_2010,d_tradeotch_p1_lag_1999_2012,d_tradeotch_pd_lag_1999_2012,d_tradeusch_pd_1999_2012,d_tradeusch_p1_1999_2012,d_tradeotch_p1_lag_2000_2007,d_tradeotch_pd_lag_2000_2007,d_tradeusch_pd_2000_2007,d_tradeusch_p1_2000_2007,d_tradeotch_p1_lag_2000_2010,d_tradeotch_pd_lag_2000_2010,d_tradeusch_pd_2000_2010,d_tradeusch_p1_2000_2010,d_tradeotch_p1_lag_2000_2012,d_tradeotch_pd_lag_2000_2012,d_tradeusch_pd_2000_2012,d_tradeusch_p1_2000_2012,d_tradeotch_p1_lag_2000_2014,d_tradeotch_pd_lag_2000_2014,d_tradeusch_pd_2000_2014,d_tradeusch_p1_2000_2014,d_tradeotch_p1_lag_2001_2010,d_tradeotch_pd_lag_2001_2010,d_tradeusch_pd_2001_2010,d_tradeusch_p1_2001_2010,d_tradeotch_p1_lag_2001_2012,d_tradeotch_pd_lag_2001_2012,d_tradeusch_pd_2001_2012,d_tradeusch_p1_2001_2012,d_tradeotch_p1_lag_2002_2007,d_tradeotch_pd_lag_2002_2007,d_tradeusch_pd_2002_2007,d_tradeusch_p1_2002_2007,d_tradeotch_p1_lag_2002_2010,d_tradeotch_pd_lag_2002_2010,d_tradeusch_pd_2002_2010,d_tradeusch_p1_2002_2010,d_tradeotch_p1_lag_2002_2012,d_tradeotch_pd_lag_2002_2012,d_tradeusch_pd_2002_2012,d_tradeusch_p1_2002_2012
451,28001,19133,19,Iowa,Monona County,"Monona County, Iowa","Sioux City, IA-NE-SD",0,5,Most hit,0.009167799,0.007526393,0.04491004,0.073198664,0.240818158,56837.58594,0.232884616,67553,0.27029416,87936,0.003995615,0.003995615,0.008580555,0.008580555,0.004849336,0.004849336,0.009702964,0.009702964,0.004435499,0.004435499,0.010016266,0.010016266,0.004291535,0.004291535,0.0109854,0.0109854,0.013329342,0.013329342,0.016458735,0.016458735,0.015279892,0.015279892,0.013593149,0.013593149,0.017890557,0.017890557,0.015908707,0.015908707,0.017234843,0.017234843,0.016226986,0.016226986,0.003286844,0.003236654,0.007200356,0.00726201,0.004140565,0.004102768,0.008456867,0.008384419,0.003726728,0.00376425,0.009090318,0.008697722,0.003582764,0.00364355,0.009854605,0.009666855,0.012620572,0.012742147,0.038395012,0.015140191,0.014571121,0.014733352,0.02093583,0.012274604,0.017181785,0.017437357,0.025981571,0.014590162,0.007680702,0.006305381,0.034519281,0.064602982,0.009657515,0.007970685,0.040447906,0.075754641,0.005930611,0.004765703,0.025320362,0.041326839,0.007190987,0.005819952,0.038055256,0.062047006,0.009167799,0.007526393,0.04491004,0.073198664,0.008149786,0.006681855,0.043388697,0.070828426,0.007459486,0.005592754,0.044438203,0.063072011,0.009436299,0.007093313,0.052309937,0.07422367,0.006445961,0.004540468,0.029448856,0.040071447,0.007706337,0.005499526,0.044514966,0.06079161,0.00968315,0.00691475,0.052640988,0.071943273
79,5201,28009,28,Mississippi,Benton County,"Benton County, Mississippi","Union County, MS",0,5,Most hit,0.051884288,0.041071277,0.038723698,0.064878598,0.650307417,9880,0.575641572,13352,0.500732362,18046,0.019245589,0.019245589,0.032179105,0.032179105,0.02288033,0.02288033,0.041468757,0.041468757,0.022480648,0.022480648,0.04444531,0.04444531,0.023576223,0.023576223,0.058120384,0.058120384,0.066955544,0.066955544,0.123234391,0.123234391,0.079909606,0.079909606,0.102698304,0.102698304,0.08632666,0.08632666,0.103291542,0.103291542,0.083640858,0.083640858,0.111326926,0.111326926,0.015626867,0.021252121,0.028316128,0.029927131,0.019261608,0.025564824,0.037032634,0.039216785,0.018861926,0.02465615,0.039824232,0.042193334,0.019957501,0.026144056,0.052683994,0.055868412,0.063336822,0.080490262,0.114836809,0.12098242,0.076290884,0.099783617,0.095633336,0.100446325,0.082707938,0.109104969,0.095829511,0.101039563,0.052440902,0.045051264,0.043161286,0.069627641,0.055528465,0.047473701,0.047085996,0.075600246,0.040743955,0.032035858,0.047536878,0.082227092,0.048796722,0.03839513,0.03480598,0.058905992,0.051884288,0.041071277,0.038723698,0.064878598,0.050044242,0.039456005,0.044121591,0.073938984,0.048051144,0.035108314,0.034976198,0.055082117,0.05113871,0.037565995,0.039107487,0.061054726,0.038569245,0.026205565,0.036795581,0.063014104,0.046622012,0.031654623,0.023844292,0.039693004,0.049709577,0.033903564,0.02782098,0.045665611
148,10400,28023,28,Mississippi,Clarke County,"Clarke County, Mississippi","Meridian, MS","Meridian, MS Micropolitan Statistical Area",5,Most hit,0.02924174,0.023282123,0.029839217,0.061137017,0.346640527,37234.53906,0.340239495,44048,0.265364021,49074,0.013802493,0.013802493,0.015125868,0.015125868,0.017783162,0.017783162,0.019588317,0.019588317,0.017990763,0.017990763,0.019612029,0.019612029,0.01828316,0.01828316,0.027389745,0.027389745,0.041036722,0.041036722,0.058812799,0.058812799,0.049484755,0.049484755,0.05512035,0.05512035,0.049994361,0.049994361,0.05061794,0.05061794,0.045514126,0.045514126,0.051964213,0.051964213,0.011890234,0.011328104,0.012425659,0.013309065,0.015870902,0.014893806,0.016607446,0.017771514,0.016078504,0.015076424,0.016677005,0.017795226,0.016370901,0.015388811,0.023882556,0.025572942,0.039124463,0.036593502,0.052652906,0.056995997,0.047572496,0.044328156,0.049159105,0.053303546,0.048082102,0.044698988,0.045319364,0.048801138,0.035491584,0.030661974,0.029004356,0.0468314,0.03322523,0.028268184,0.039029905,0.063965639,0.023071083,0.018540073,0.021433837,0.040930566,0.031508094,0.025923537,0.022509036,0.044002775,0.02924174,0.023282123,0.029839217,0.061137017,0.024313284,0.019276492,0.034198528,0.070964726,0.030817944,0.022828911,0.02418784,0.043603417,0.02855159,0.020880263,0.032329687,0.060737652,0.021486494,0.014861142,0.022617793,0.035742882,0.029923506,0.021397974,0.024801852,0.038815093,0.027657152,0.019945801,0.035171614,0.055949327
296,21201,27085,27,Minnesota,McLeod County,"McLeod County, Minnesota","Hutchinson, MN","Hutchinson, MN Micropolitan Statistical Area",5,Most hit,0.056705984,0.036522231,0.025424658,0.053126657,0.406747371,17824.33203,0.428864121,20988,0.414981306,25583,0.007300376,0.007300376,0.021147791,0.021147791,0.00960681,0.00960681,0.027273219,0.027273219,0.009850211,0.009850211,0.027270711,0.027270711,0.010720121,0.010720121,0.035495594,0.035495594,0.030500079,0.030500079,0.081106163,0.081106163,0.033272527,0.033272527,0.082731267,0.082731267,0.039978078,0.039978078,0.101178032,0.101178032,0.040016158,0.040016158,0.103399573,0.103399573,0.006231855,0.006013868,0.016650891,0.019823348,0.008538289,0.008247814,0.021758932,0.025948776,0.00878169,0.008502289,0.021627738,0.025946268,0.0096516,0.009379705,0.028575321,0.03417115,0.029431559,0.028310283,0.068118847,0.079781718,0.032204007,0.030981823,0.070360343,0.081406825,0.038909558,0.037284949,0.086610508,0.099853588,0.043595244,0.031742638,0.022018682,0.041482227,0.059250882,0.041567974,0.030351021,0.058063729,0.032996224,0.021599499,0.020013498,0.040767528,0.041050344,0.027393911,0.01798501,0.036545154,0.056705984,0.036522231,0.025424658,0.053126657,0.057549415,0.037810686,0.025592162,0.052753787,0.039749128,0.025084065,0.019688595,0.03559306,0.055404767,0.033951052,0.028325693,0.05217456,0.028047849,0.017096602,0.021297139,0.033324654,0.03610197,0.022187245,0.018417496,0.02910228,0.051757609,0.031071116,0.028975855,0.045683781
15,1100,37003,37,North Carolina,Alexander County,"Alexander County, North Carolina",North Hickory,"Hickory-Morganton-Lenoir, NC Metropolitan Statistical Area",5,Most hit,0.047026922,0.039153244,0.032071058,0.052849604,0.607328355,121912.6406,0.53267467,155258,0.430326581,184016,0.012728724,0.012728724,0.024721189,0.024721189,0.017346461,0.017346461,0.032451733,0.032451733,0.018380799,0.018380799,0.034779779,0.034779779,0.020301764,0.020301764,0.046652701,0.046652701,0.059748703,0.059748703,0.100112447,0.100112447,0.070993596,0.070993596,0.085939686,0.085939686,0.076616302,0.076616302,0.089727785,0.089727785,0.075709357,0.075709357,0.098288428,0.098288428,0.011411702,0.010970236,0.021640819,0.023008996,0.016029439,0.01529614,0.028887005,0.030739542,0.017063776,0.016272161,0.031094152,0.033067586,0.018984742,0.018133986,0.042229195,0.044940506,0.058431681,0.055651799,0.092554635,0.098400252,0.069676574,0.066425099,0.07917252,0.084227491,0.075299279,0.071834483,0.082710171,0.08801559,0.046047748,0.039276837,0.033124325,0.051607876,0.050349059,0.043040119,0.038362122,0.059188981,0.034307926,0.027968286,0.032823059,0.056085536,0.042725609,0.035222531,0.02731068,0.0452685,0.047026922,0.039153244,0.032071058,0.052849604,0.047157125,0.03915206,0.037184933,0.061508505,0.041798262,0.032762894,0.02879235,0.043494954,0.046099572,0.036531014,0.034023202,0.051076059,0.031617532,0.023233675,0.028297488,0.045036403,0.040035217,0.029997082,0.02328965,0.034219366,0.044336527,0.033698733,0.028894735,0.041800471
77,5000,28013,28,Mississippi,Calhoun County,"Calhoun County, Mississippi","Tupelo, MS",0,5,Most hit,0.050755146,0.041603942,0.030603209,0.050215873,0.570464849,54108.50391,0.531679094,70204,0.43688333,84367,0.019398875,0.019398875,0.027448526,0.027448526,0.024917194,0.024917194,0.035715384,0.035715384,0.024804631,0.024804631,0.037692475,0.037692475,0.024702764,0.024702764,0.049687509,0.049687509,0.065167104,0.065167104,0.109495036,0.109495036,0.076844808,0.076844808,0.093620579,0.093620579,0.083876194,0.083876194,0.098092554,0.098092554,0.080862296,0.080862296,0.105655689,0.105655689,0.016354025,0.016765443,0.023708526,0.025124557,0.021872344,0.022224314,0.031481001,0.033391415,0.02175978,0.021939891,0.033299738,0.035368508,0.021657914,0.021641151,0.04450747,0.047363542,0.062122253,0.062041108,0.100445932,0.107171066,0.073799957,0.073985295,0.085568397,0.091296613,0.080831343,0.081131093,0.089846444,0.095768584,0.049950928,0.04328772,0.033450989,0.052620123,0.05505424,0.047942669,0.037060247,0.057892001,0.036790056,0.029874199,0.036070472,0.060888338,0.045651835,0.037116981,0.027059513,0.044943994,0.050755146,0.041603942,0.030603209,0.050215873,0.048964233,0.039900416,0.03507532,0.057733811,0.045296192,0.034606187,0.028377679,0.043117302,0.050399504,0.03888059,0.032194438,0.04838918,0.036123832,0.026731105,0.029564575,0.048122763,0.044985609,0.033232576,0.020604809,0.032178423,0.050088921,0.037367584,0.024305416,0.037450301
6,402,51089,51,Virginia,Henry County,"Henry County, Virginia","Martinsville, VA","Martinsville, VA Micropolitan Statistical Area",5,Most hit,0.036060383,0.027425373,0.028664249,0.047249146,0.703306317,40103.4375,0.618196726,42755,0.474429518,35055,0.009848252,0.009848252,0.02184096,0.02184096,0.014595218,0.014595218,0.02793716,0.02793716,0.013778024,0.013778024,0.030009593,0.030009593,0.013803529,0.013803529,0.038822256,0.038822256,0.038940706,0.038940706,0.080398086,0.080398086,0.046566092,0.046566092,0.065797514,0.065797514,0.051063456,0.051063456,0.069452366,0.069452366,0.050109329,0.050109329,0.074538596,0.074538596,0.007524697,0.007596778,0.017929424,0.018790519,0.012271663,0.012237633,0.023688269,0.02488672,0.011454469,0.011222465,0.025630582,0.026959153,0.011479975,0.011156158,0.033914203,0.035771815,0.036617152,0.034683122,0.073150104,0.077347642,0.044242536,0.042218781,0.059327625,0.062747074,0.048739902,0.047066072,0.062799547,0.066401922,0.035137505,0.031786485,0.031885704,0.050968594,0.04069304,0.036961334,0.033714754,0.053489843,0.021674385,0.014293741,0.033612174,0.057209663,0.030504851,0.022137194,0.026905617,0.044727899,0.036060383,0.027425373,0.028664249,0.047249146,0.033884223,0.025393308,0.032474367,0.053571437,0.031494127,0.019578369,0.028171672,0.042807072,0.03704966,0.024635152,0.030074734,0.045328319,0.022775489,0.010657718,0.027568977,0.045598598,0.031605954,0.017947525,0.021450987,0.033116831,0.037161487,0.022932128,0.023071147,0.03563808
9,602,37005,37,North Carolina,Alleghany County,"Alleghany County, North Carolina","Carroll County, VA",0,5,Most hit,0.078752242,0.061598409,0.028824702,0.045558053,0.665375352,14932.9248,0.563792706,16632,0.450672776,17710,0.027464677,0.027464677,0.02425111,0.02425111,0.0366059,0.0366059,0.028767817,0.028767817,0.035657207,0.035657207,0.031600162,0.031600162,0.034855957,0.034855957,0.040868584,0.040868584,0.083583208,0.083583208,0.114736326,0.114736326,0.097072666,0.097072666,0.110213726,0.110213726,0.10003526,0.10003526,0.110272075,0.110272075,0.091101075,0.091101075,0.118487976,0.118487976,0.022991671,0.025053507,0.019154212,0.020230355,0.032132895,0.034478313,0.02322776,0.024747063,0.031184201,0.033199846,0.025954459,0.027579408,0.030382953,0.032444951,0.034592602,0.03684783,0.079110203,0.082625401,0.105258049,0.110715569,0.092599662,0.097236442,0.101565835,0.106192968,0.095562257,0.100338543,0.101894685,0.106251321,0.080785702,0.086228964,0.03111345,0.048107652,0.087497189,0.093872969,0.033405066,0.051298036,0.052018878,0.040317391,0.031458679,0.052235566,0.072040755,0.056151882,0.026582697,0.042367671,0.078752242,0.061598409,0.028824702,0.045558053,0.069581152,0.054689807,0.032317068,0.051302276,0.073657432,0.06341965,0.027635785,0.040295763,0.080368922,0.069762533,0.030078281,0.043486145,0.053873353,0.038428432,0.026617737,0.041634295,0.073895228,0.052522022,0.022670815,0.0317664,0.080606717,0.057633178,0.024995219,0.034956783
32,2300,51009,51,Virginia,Amherst County,"Amherst County, Virginia","Lynchburg, VA","Lynchburg, VA Metropolitan Statistical Area",5,Most hit,0.037715902,0.026383398,0.021215475,0.044855725,0.468963981,69050.07813,0.316835195,84038,0.269476205,96538,0.007860099,0.007860099,0.008237318,0.008237318,0.010452617,0.010452617,0.010484792,0.010484792,0.010474866,0.010474866,0.01142947,0.01142947,0.010377318,0.010377318,0.01529214,0.01529214,0.036904295,0.036904295,0.04208704,0.04208704,0.043753835,0.043753835,0.041567152,0.041567152,0.053128797,0.053128797,0.053184126,0.053184126,0.051946928,0.051946928,0.059526098,0.059526098,0.006623741,0.00657026,0.006777983,0.007104232,0.009216258,0.009079468,0.008909693,0.009351707,0.009238508,0.009067739,0.00982128,0.010296386,0.009140959,0.008986766,0.013511543,0.014159055,0.035667937,0.034356139,0.039364455,0.040953955,0.042517476,0.041025018,0.039065422,0.040434066,0.051892439,0.049549906,0.050664516,0.05205104,0.029956308,0.022716138,0.019672961,0.034078544,0.040026633,0.029413027,0.02739808,0.047072235,0.022010541,0.016119357,0.014713269,0.029484376,0.027645579,0.020073298,0.015163917,0.031862035,0.037715902,0.026383398,0.021215475,0.044855725,0.038456231,0.026248601,0.02445762,0.052345103,0.027415405,0.018650819,0.016758195,0.031317625,0.03748573,0.024824959,0.023490749,0.044311313,0.021649261,0.01496439,0.016185071,0.025548738,0.027284299,0.018645943,0.017967688,0.027926396,0.037354624,0.024510552,0.026326164,0.040920085
14,1002,37023,37,North Carolina,Burke County,"Burke County, North Carolina",West Hickory,"Hickory-Morganton-Lenoir, NC Metropolitan Statistical Area",5,Most hit,0.046892351,0.037819679,0.031288139,0.044346745,0.677251637,44812,0.609001517,51169,0.499186367,57891.00391,0.013992777,0.013992777,0.022451357,0.022451357,0.019309242,0.019309242,0.028318385,0.028318385,0.019898471,0.019898471,0.030235908,0.030235908,0.021478472,0.021478472,0.039213227,0.039213227,0.061245274,0.061245274,0.084616442,0.084616442,0.074708748,0.074708748,0.077135578,0.077135578,0.080266052,0.080266052,0.082767409,0.082767409,0.078561779,0.078561779,0.089617978,0.089617978,0.012651794,0.011662577,0.019026234,0.020094318,0.017968259,0.016316405,0.024525049,0.025961347,0.018557487,0.016927395,0.026344079,0.027878871,0.020137489,0.018522623,0.034768403,0.036856189,0.05990429,0.055570293,0.077544156,0.082259404,0.073367761,0.068209862,0.070540437,0.074778541,0.078925069,0.073438408,0.075990315,0.080410369,0.046539942,0.039939152,0.030653501,0.043595532,0.051127384,0.043966422,0.035020383,0.048845781,0.032922274,0.025863597,0.029452659,0.045324757,0.042304911,0.033738424,0.026954489,0.039096496,0.046892351,0.037819679,0.031288139,0.044346745,0.04554714,0.036882242,0.035583241,0.050554229,0.042011076,0.032480472,0.028881941,0.037973572,0.046598516,0.036529101,0.033632363,0.04322382,0.031430236,0.022930622,0.026160972,0.037228723,0.040812872,0.030920428,0.0240431,0.031000463,0.045400314,0.03511226,0.028814776,0.036250711
