"","county","county_name","CZ90"
"1",1005,"Barbour County",10301
"2",1015,"Calhoun County",9600
"3",1017,"Chambers County",9600
"4",1029,"Cleburne County",9600
"5",1033,"Colbert County",6200
"6",1049,"DeKalb County",6100
"7",1055,"Etowah County",6100
"8",1057,"Fayette County",10600
"9",1059,"Franklin County",6200
"10",1071,"Jackson County",6100
"11",1075,"Lamar County",10600
"12",1077,"Lauderdale County",6200
"13",1079,"Lawrence County",6000
"14",1083,"Limestone County",6000
"15",1089,"Madison County",6000
"16",1093,"Marion County",10600
"17",1095,"Marshall County",6100
"18",1103,"Morgan County",6000
"19",1107,"Pickens County",10501
"20",1111,"Randolph County",9600
"21",1113,"Russell County",9701
"22",1127,"Walker County",10600
"23",1133,"Winston County",10600
"24",5001,"Arkansas County",4301
"25",5005,"Baxter County",25101
"26",5021,"Clay County",25900
"27",5023,"Cleburne County",25104
"28",5027,"Columbia County",4001
"29",5031,"Craighead County",25900
"30",5033,"Crawford County",30100
"31",5049,"Fulton County",25102
"32",5055,"Greene County",25900
"33",5073,"Lafayette County",4001
"34",5075,"Lawrence County",25900
"35",5089,"Marion County",25101
"36",5093,"Mississippi County",25800
"37",5095,"Monroe County",4301
"38",5111,"Poinsett County",25900
"39",5117,"Prairie County",4301
"40",5121,"Randolph County",25900
"41",5127,"Scott County",30100
"42",5131,"Sebastian County",30100
"43",5137,"Stone County",25104
"44",5141,"Van Buren County",25104
"45",6053,"Monterey County",37500
"46",6069,"San Benito County",37500
"47",6085,"Santa Clara County",37500
"48",6087,"Santa Cruz County",37500
"49",13001,"Appling County",9001
"50",13017,"Ben Hill County",8501
"51",13031,"Bulloch County",8702
"52",13035,"Butts County",9200
"53",13037,"Calhoun County",10301
"54",13043,"Candler County",8702
"55",13045,"Carroll County",9600
"56",13053,"Chattahoochee County",9701
"57",13061,"Clay County",10301
"58",13077,"Coweta County",9600
"59",13081,"Crisp County",8502
"60",13091,"Dodge County",9001
"61",13093,"Dooly County",8502
"62",13099,"Early County",10301
"63",13105,"Elbert County",9302
"64",13107,"Emanuel County",8702
"65",13119,"Franklin County",9302
"66",13133,"Greene County",8402
"67",13143,"Haralson County",9600
"68",13145,"Harris County",9701
"69",13147,"Hart County",9302
"70",13149,"Heard County",9600
"71",13155,"Irwin County",8501
"72",13161,"Jeff Davis County",9001
"73",13165,"Jenkins County",8702
"74",13171,"Lamar County",9200
"75",13181,"Lincoln County",8402
"76",13193,"Macon County",9702
"77",13197,"Marion County",9702
"78",13199,"Meriwether County",9701
"79",13209,"Montgomery County",9001
"80",13215,"Muscogee County",9701
"81",13231,"Pike County",9200
"82",13239,"Quitman County",10301
"83",13243,"Randolph County",10301
"84",13249,"Schley County",9702
"85",13251,"Screven County",8702
"86",13255,"Spalding County",9200
"87",13257,"Stephens County",9302
"88",13259,"Stewart County",9702
"89",13261,"Sumter County",9702
"90",13263,"Talbot County",9701
"91",13265,"Taliaferro County",8402
"92",13271,"Telfair County",9001
"93",13279,"Toombs County",9001
"94",13281,"Towns County",1204
"95",13283,"Treutlen County",9001
"96",13285,"Troup County",9600
"97",13291,"Union County",1204
"98",13293,"Upson County",9200
"99",13307,"Webster County",9702
"100",13309,"Wheeler County",9001
"101",13315,"Wilcox County",8502
"102",13317,"Wilkes County",8402
"103",16001,"Ada County",35801
"104",16015,"Boise County",35801
"105",16027,"Canyon County",35801
"106",16039,"Elmore County",35801
"107",16041,"Franklin County",36200
"108",16045,"Gem County",35801
"109",16071,"Oneida County",36200
"110",16073,"Owyhee County",35801
"111",17001,"Adams County",25000
"112",17007,"Boone County",24400
"113",17015,"Carroll County",24400
"114",17025,"Clay County",23302
"115",17027,"Clinton County",25500
"116",17033,"Crawford County",23302
"117",17037,"DeKalb County",24400
"118",17047,"Edwards County",14801
"119",17049,"Effingham County",23302
"120",17051,"Fayette County",23302
"121",17065,"Hamilton County",25500
"122",17067,"Hancock County",23600
"123",17071,"Henderson County",23600
"124",17079,"Jasper County",23302
"125",17081,"Jefferson County",25500
"126",17103,"Lee County",24400
"127",17121,"Marion County",25500
"128",17141,"Ogle County",24400
"129",17149,"Pike County",25000
"130",17159,"Richland County",14801
"131",17177,"Stephenson County",24400
"132",17185,"Wabash County",14700
"133",17189,"Washington County",25500
"134",17191,"Wayne County",14801
"135",17193,"White County",14801
"136",17195,"Whiteside County",24400
"137",17201,"Winnebago County",24400
"138",18001,"Adams County",14100
"139",18003,"Allen County",14100
"140",18005,"Bartholomew County",14300
"141",18017,"Cass County",13900
"142",18029,"Dearborn County",12800
"143",18031,"Decatur County",12800
"144",18033,"De Kalb County",14100
"145",18037,"Dubois County",14700
"146",18039,"Elkhart County",13700
"147",18041,"Fayette County",12600
"148",18047,"Franklin County",12800
"149",18049,"Fulton County",13800
"150",18051,"Gibson County",14700
"151",18067,"Howard County",13900
"152",18069,"Huntington County",14100
"153",18071,"Jackson County",14300
"154",18075,"Jay County",14100
"155",18077,"Jefferson County",13102
"156",18079,"Jennings County",14300
"157",18085,"Kosciusko County",13800
"158",18087,"Lagrange County",13700
"159",18103,"Miami County",13900
"160",18113,"Noble County",13700
"161",18115,"Ohio County",12800
"162",18123,"Perry County",14700
"163",18125,"Pike County",14700
"164",18129,"Posey County",14700
"165",18131,"Pulaski County",13900
"166",18137,"Ripley County",12800
"167",18143,"Scott County",14300
"168",18147,"Spencer County",14700
"169",18151,"Steuben County",14100
"170",18155,"Switzerland County",12800
"171",18159,"Tipton County",13900
"172",18161,"Union County",12600
"173",18163,"Vanderburgh County",14700
"174",18169,"Wabash County",13800
"175",18173,"Warrick County",14700
"176",18177,"Wayne County",12600
"177",18179,"Wells County",14100
"178",18183,"Whitley County",14100
"179",19007,"Appanoose County",26106
"180",19041,"Clay County",27301
"181",19057,"Des Moines County",23600
"182",19059,"Dickinson County",27301
"183",19063,"Emmet County",27302
"184",19069,"Franklin County",22002
"185",19083,"Hardin County",22002
"186",19087,"Henry County",23600
"187",19109,"Kossuth County",27301
"188",19111,"Lee County",23600
"189",19117,"Lucas County",26106
"190",19119,"Lyon County",27201
"191",19133,"Monona County",28001
"192",19141,"O'Brien County",27201
"193",19147,"Palo Alto County",27301
"194",19149,"Plymouth County",28001
"195",19167,"Sioux County",27201
"196",19185,"Wayne County",26106
"197",19193,"Woodbury County",28001
"198",20001,"Allen County",29401
"199",20003,"Anderson County",29401
"200",20011,"Bourbon County",29901
"201",20017,"Chase County",29402
"202",20021,"Cherokee County",29901
"203",20031,"Coffey County",29402
"204",20037,"Crawford County",29901
"205",20059,"Franklin County",29401
"206",20111,"Lyon County",29402
"207",20207,"Woodson County",29401
"208",21003,"Allen County",5401
"209",21005,"Anderson County",12901
"210",21009,"Barren County",5402
"211",21011,"Bath County",12902
"212",21013,"Bell County",301
"213",21017,"Bourbon County",12901
"214",21021,"Boyle County",12903
"215",21023,"Bracken County",12702
"216",21035,"Calloway County",25402
"217",21041,"Carroll County",13102
"218",21047,"Christian County",5900
"219",21049,"Clark County",12901
"220",21053,"Clinton County",4602
"221",21057,"Cumberland County",5402
"222",21061,"Edmonson County",5401
"223",21065,"Estill County",4402
"224",21067,"Fayette County",12901
"225",21069,"Fleming County",12702
"226",21073,"Franklin County",12901
"227",21075,"Fulton County",25300
"228",21079,"Garrard County",12903
"229",21083,"Graves County",25300
"230",21097,"Harrison County",12901
"231",21099,"Hart County",5402
"232",21105,"Hickman County",25300
"233",21109,"Jackson County",4402
"234",21113,"Jessamine County",12901
"235",21135,"Lewis County",12702
"236",21137,"Lincoln County",12903
"237",21141,"Logan County",5401
"238",21147,"McCreary County",4602
"239",21151,"Madison County",4402
"240",21155,"Marion County",13103
"241",21161,"Mason County",12702
"242",21165,"Menifee County",12902
"243",21167,"Mercer County",12903
"244",21169,"Metcalfe County",5402
"245",21171,"Monroe County",5402
"246",21173,"Montgomery County",12902
"247",21179,"Nelson County",13103
"248",21181,"Nicholas County",12901
"249",21187,"Owen County",12901
"250",21197,"Powell County",12901
"251",21199,"Pulaski County",4602
"252",21201,"Robertson County",12901
"253",21203,"Rockcastle County",4402
"254",21209,"Scott County",12901
"255",21213,"Simpson County",5401
"256",21219,"Todd County",5900
"257",21221,"Trigg County",5900
"258",21223,"Trimble County",13102
"259",21227,"Warren County",5401
"260",21229,"Washington County",13103
"261",21231,"Wayne County",4602
"262",21239,"Woodford County",12901
"263",22025,"Catahoula Parish",3201
"264",22059,"La Salle Parish",3201
"265",23031,"York County",20600
"266",25005,"Bristol County",20401
"267",26023,"Branch County",13700
"268",26053,"Gogebic County",21003
"269",26059,"Hillsdale County",11500
"270",26075,"Jackson County",11500
"271",26085,"Lake County",12001
"272",26091,"Lenawee County",11500
"273",26107,"Mecosta County",12001
"274",26113,"Missaukee County",12001
"275",26131,"Ontonagon County",21003
"276",26133,"Osceola County",12001
"277",26149,"St. Joseph County",13700
"278",26165,"Wexford County",12001
