"","czone_1990","cnty","State","State.name","County.name","Full.County.name","CZ.name","MSA","CZ.level.quintile","CA.level.category"
"1",28001,19133,19,"Iowa","Monona County","Monona County, Iowa","Sioux City, IA-NE-SD","0",5,"Most hit"
"2",5201,28009,28,"Mississippi","Benton County","Benton County, Mississippi","Union County, MS","0",5,"Most hit"
"3",10400,28023,28,"Mississippi","Clarke County","Clarke County, Mississippi","Meridian, MS","Meridian, MS Micropolitan Statistical Area",5,"Most hit"
"4",21201,27085,27,"Minnesota","McLeod County","McLeod County, Minnesota","Hutchinson, MN","Hutchinson, MN Micropolitan Statistical Area",5,"Most hit"
"5",1100,37003,37,"North Carolina","Alexander County","Alexander County, North Carolina","North Hickory","Hickory-Morganton-Lenoir, NC Metropolitan Statistical Area",5,"Most hit"
"6",5000,28013,28,"Mississippi","Calhoun County","Calhoun County, Mississippi","Tupelo, MS","0",5,"Most hit"
"7",402,51089,51,"Virginia","Henry County","Henry County, Virginia","Martinsville, VA","Martinsville, VA Micropolitan Statistical Area",5,"Most hit"
"8",602,37005,37,"North Carolina","Alleghany County","Alleghany County, North Carolina","Carroll County, VA","0",5,"Most hit"
"9",2300,51009,51,"Virginia","Amherst County","Amherst County, Virginia","Lynchburg, VA","Lynchburg, VA Metropolitan Statistical Area",5,"Most hit"
"10",1002,37023,37,"North Carolina","Burke County","Burke County, North Carolina","West Hickory","Hickory-Morganton-Lenoir, NC Metropolitan Statistical Area",5,"Most hit"
"11",4903,47039,47,"Tennessee","Decatur County","Decatur County, Tennessee","Henderson County, TN","0",5,"Most hit"
"12",6402,47007,47,"Tennessee","Bledsoe County","Bledsoe County, Tennessee","Crossville, TN","0",5,"Most hit"
"13",1701,37037,37,"North Carolina","Chatham County","Chatham County, North Carolina","Raleigh-Cary, NC","Durham, NC Metropolitan Statistical Area",5,"Most hit"
"14",6502,47011,47,"Tennessee","Bradley County","Bradley County, Tennessee","Cleveland, TN","Cleveland, TN Metropolitan Statistical Area",5,"Most hit"
"15",6301,47041,47,"Tennessee","DeKalb County","DeKalb County, Tennessee","McMinnville, TN","0",5,"Most hit"
"16",21302,27131,27,"Minnesota","Rice County","Rice County, Minnesota","Faribault-Northfield, MN","Faribault-Northfield, MN Micropolitan Statistical Area",5,"Most hit"
"17",18202,42023,42,"Pennsylvania","Cameron County","Cameron County, Pennsylvania","St. Marys, PA","0",5,"Most hit"
"18",12903,21021,21,"Kentucky","Boyle County","Boyle County, Kentucky","Danville, KY","Danville, KY Micropolitan Statistical Area",5,"Most hit"
"19",25000,17001,17,"Illinois","Adams County","Adams County, Illinois","Quincy, IL-MO","Quincy, IL-MO Micropolitan Statistical Area",5,"Most hit"
"20",8402,13133,13,"Georgia","Greene County","Greene County, Georgia","Greene County, GA","0",5,"Most hit"
"21",14100,18001,18,"Indiana","Adams County","Adams County, Indiana","Fort Wayne, IN","Decatur, IN Micropolitan Statistical Area",5,"Most hit"
"22",6000,1079,1,"Alabama","Lawrence County","Lawrence County, Alabama","Huntsville, AL","Decatur, AL Metropolitan Statistical Area",5,"Most hit"
"23",1204,13281,13,"Georgia","Towns County","Towns County, Georgia","Cherokee County, NC","0",5,"Most hit"
"24",27302,19063,19,"Iowa","Emmet County","Emmet County, Iowa","Fairmont, MN","0",5,"Most hit"
"25",37500,6053,6,"California","Monterey County","Monterey County, California","San Jose-Sunnyvale-Santa Clara, CA","Salinas, CA Metropolitan Statistical Area",5,"Most hit"
"26",10502,28019,28,"Mississippi","Choctaw County","Choctaw County, Mississippi","Starkville, MS","0",5,"Most hit"
"27",25104,5023,5,"Arkansas","Cleburne County","Cleburne County, Arkansas","Cleburne County, AR","0",5,"Most hit"
"28",32701,48049,48,"Texas","Brown County","Brown County, Texas","Brownwood, TX","Brownwood, TX Micropolitan Statistical Area",5,"Most hit"
"29",25300,21075,21,"Kentucky","Fulton County","Fulton County, Kentucky","Union City, TN-KY","Union City, TN-KY Micropolitan Statistical Area",5,"Most hit"
"30",29902,29011,29,"Missouri","Barton County","Barton County, Missouri","Vernon County, MO","0",5,"Most hit"
"31",301,21013,21,"Kentucky","Bell County","Bell County, Kentucky","Middlesborough, KY","Middlesborough, KY Micropolitan Statistical Area",5,"Most hit"
"32",32302,48095,48,"Texas","Concho County","Concho County, Texas","Runnels County, TX","0",5,"Most hit"
"33",31201,48021,48,"Texas","Bastrop County","Bastrop County, Texas","Austin-Round Rock, TX","Austin-Round Rock, TX Metropolitan Statistical Area",5,"Most hit"
"34",5100,28003,28,"Mississippi","Alcorn County","Alcorn County, Mississippi","Corinth, MS","Corinth, MS Micropolitan Statistical Area",5,"Most hit"
"35",601,37009,37,"North Carolina","Ashe County","Ashe County, North Carolina","North Wilkesboro, NC","0",5,"Most hit"
"36",25900,5021,5,"Arkansas","Clay County","Clay County, Arkansas","Jonesboro, AR","0",5,"Most hit"
"37",9302,13105,13,"Georgia","Elbert County","Elbert County, Georgia","Toccoa, GA","0",5,"Most hit"
"38",4402,21065,21,"Kentucky","Estill County","Estill County, Kentucky","Richmond, KY","0",5,"Most hit"
"39",3002,28053,28,"Mississippi","Humphreys County","Humphreys County, Mississippi","Yazoo City, MS","0",5,"Most hit"
"40",27201,19119,19,"Iowa","Lyon County","Lyon County, Iowa","Sioux County, IA","0",5,"Most hit"
"41",6100,1049,1,"Alabama","DeKalb County","DeKalb County, Alabama","Gadsden, AL","0",5,"Most hit"
"42",23600,17067,17,"Illinois","Hancock County","Hancock County, Illinois","Burlington, IA-IL","0",5,"Most hit"
"43",8201,45005,45,"South Carolina","Allendale County","Allendale County, South Carolina","Barnwell County, SC","0",5,"Most hit"
"44",9200,13035,13,"Georgia","Butts County","Butts County, Georgia","Southeast Atlanta","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",5,"Most hit"
"45",22800,27169,27,"Minnesota","Winona County","Winona County, Minnesota","Eau Claire, WI","Winona, MN Micropolitan Statistical Area",5,"Most hit"
"46",21102,55013,55,"Wisconsin","Burnett County","Burnett County, Wisconsin","Polk County, WI","0",5,"Most hit"
"47",200,47029,47,"Tennessee","Cocke County","Cocke County, Tennessee","Morristown, TN","Newport, TN Micropolitan Statistical Area",5,"Most hit"
"48",26501,46011,46,"South Dakota","Brookings County","Brookings County, South Dakota","Brookings, SD","Brookings, SD Micropolitan Statistical Area",5,"Most hit"
"49",17900,36007,36,"New York","Broome County","Broome County, New York","Binghamton, NY","Binghamton, NY Metropolitan Statistical Area",5,"Most hit"
"50",25402,21035,21,"Kentucky","Calloway County","Calloway County, Kentucky","Murray, KY","Murray, KY Micropolitan Statistical Area",5,"Most hit"
"51",26103,29041,29,"Missouri","Chariton County","Chariton County, Missouri","Linn County, MO","0",5,"Most hit"
"52",5800,47005,47,"Tennessee","Benton County","Benton County, Tennessee","East Nashville","0",5,"Most hit"
"53",4702,28027,28,"Mississippi","Coahoma County","Coahoma County, Mississippi","Oxford, MS","Clarksdale, MS Micropolitan Statistical Area",5,"Most hit"
"54",25102,5049,5,"Arkansas","Fulton County","Fulton County, Arkansas","West Plains, MO","0",5,"Most hit"
"55",13900,18017,18,"Indiana","Cass County","Cass County, Indiana","Kokomo, IN","Logansport, IN Micropolitan Statistical Area",5,"Most hit"
"56",5402,21009,21,"Kentucky","Barren County","Barren County, Kentucky","Glasgow, KY","Glasgow, KY Micropolitan Statistical Area",5,"Most hit"
"57",1400,37051,37,"North Carolina","Cumberland County","Cumberland County, North Carolina","Fayetteville, NC","Fayetteville, NC Metropolitan Statistical Area",5,"Most hit"
"58",16902,54013,54,"West Virginia","Calhoun County","Calhoun County, West Virginia","Roane County, WV","0",5,"Most hit"
"59",1301,45025,45,"South Carolina","Chesterfield County","Chesterfield County, South Carolina","Bennettsville, SC","0",5,"Most hit"
"60",12001,26085,26,"Michigan","Lake County","Lake County, Michigan","Cadillac, MI","0",5,"Most hit"
"61",2800,28061,28,"Mississippi","Jasper County","Jasper County, Mississippi","Laurel, MS","Laurel, MS Micropolitan Statistical Area",5,"Most hit"
"62",13300,39063,39,"Ohio","Hancock County","Hancock County, Ohio","Findlay, OH","Findlay, OH Micropolitan Statistical Area",5,"Most hit"
"63",21701,27039,27,"Minnesota","Dodge County","Dodge County, Minnesota","Rochester, MN","Rochester, MN Metropolitan Statistical Area",5,"Most hit"
